name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Eugens Museumssammlung,Animal Crossing™,77056,7+,543.0,79.99,,,,,/de-de/product/blatherss-museum-collection-77056,2025-10-07
Bienchens gemütliches Haus,Animal Crossing™,77058,6+,149.0,19.99,,,,,/de-de/product/goldies-cosy-house-77058,2025-10-07
Kreative Häuser: Jahreszeiten voller Spaß,Animal Crossing™,77057,7+,814.0,89.99,,,,,/de-de/product/creative-houses-seasons-of-fun-77057,2025-10-07
Gerds Wohnwagen & Gärtnerei,Animal Crossing™,77054,7+,263.0,29.99,,,,,/de-de/product/leifs-caravan-garden-shop-77054,2025-10-07
K.K. spielt auf dem Festplatz,Animal Crossing™,77052,7+,550.0,79.99,,,,,/de-de/product/kks-concert-at-the-plaza-77052,2025-10-07
Flieg mit Dodo Airlines,Animal Crossing™,77051,7+,292.0,37.99,,,,,/de-de/product/fly-with-dodo-airlines-77051,2025-10-07
Die Schneiderei der Schneiderschwestern,Animal Crossing™,77055,6+,322.0,39.99,,,,,/de-de/product/able-sisters-clothing-shop-77055,2025-10-07
Besuch von Melinda,Animal Crossing™,77049,6+,389.0,39.99,,,,,/de-de/product/isabelles-house-visit-77049,2025-10-07
Mimmis Outdoor-Spaß,Animal Crossing™,77047,6+,164.0,19.99,,,,,/de-de/product/bunnies-outdoor-activities-77047,2025-10-07
Jimmys Geburtstagsparty,Animal Crossing™,77046,6+,170.0,14.99,,,,,/de-de/product/julians-birthday-party-77046,2025-10-07
Nooks Laden und Sophies Haus,Animal Crossing™,77050,7+,535.0,74.99,,,,,/de-de/product/nooks-cranny-rosies-house-77050,2025-10-07
Sternbeobachtung mit Eufemia,Animal Crossing™,77053,6+,78.0,9.99,,,,,/de-de/product/stargazing-with-celeste-77053,2025-10-07
Käptens Insel-Bootstour,Animal Crossing™,77048,6+,233.0,29.99,,,,,/de-de/product/kappns-island-boat-tour-77048,2025-10-07
Schloss Neuschwanstein,Architecture,21063,18+,3455.0,269.99,,,,,/de-de/product/neuschwanstein-castle-21063,2025-10-07
Notre-Dame de Paris,Architecture,21061,18+,4383.0,229.99,,,,,/de-de/product/notre-dame-de-paris-21061,2025-10-07
Freiheitsstatue,Architecture,21042,16+,1685.0,99.99,,,,,/de-de/product/statue-of-liberty-21042,2025-10-07
Trevi-Brunnen,Architecture,21062,18+,1880.0,159.99,,,,,/de-de/product/trevi-fountain-21062,2025-10-07
London,Architecture,21034,12+,468.0,39.99,,,,,/de-de/product/london-21034,2025-10-07
Burg Himeji,Architecture,21060,18+,2125.0,159.99,,,,,/de-de/product/himeji-castle-21060,2025-10-07
Cheops-Pyramide,Architecture,21058,18+,1476.0,139.99,,,,,/de-de/product/great-pyramid-of-giza-21058,2025-10-07
New York City,Architecture,21028,12+,598.0,49.99,,,,,/de-de/product/new-york-city-21028,2025-10-07
Paris,Architecture,21044,12+,649.0,49.99,,,,,/de-de/product/paris-21044,2025-10-07
Die Milchstraßen-Galaxie,Art,31212,18+,3091.0,199.99,,40.0,65.0,5.0,/de-de/product/the-milky-way-galaxy-31212,2025-10-07
Vincent van Gogh – Sonnenblumen,Art,31215,18+,2615.0,199.99,,54.0,41.0,5.0,/de-de/product/vincent-van-gogh-sunflowers-31215,2025-10-07
Hokusai – Große Welle,Art,31208,18+,1810.0,99.99,,,,,/de-de/product/hokusai-the-great-wave-31208,2025-10-07
Keith Haring – Tanzende Figuren,Art,31216,18+,1773.0,119.99,,,,,/de-de/product/keith-haring-dancing-figures-31216,2025-10-07
Mona Lisa,Art,31213,18+,1503.0,99.99,,,,,/de-de/product/mona-lisa-31213,2025-10-07
LOVE,Art,31214,18+,791.0,79.99,,,,,/de-de/product/love-31214,2025-10-07
Fauna Collection - Tiger,Art,31217,18+,744.0,59.99,,,,,/de-de/product/the-fauna-collection-tiger-31217,2025-10-07
Disney Princess Ultimatives Freundschaftspaket,DOTS,5007204,6+,,84.99,,,,,/de-de/product/disney-princess-ultimate-celebration-bundle-5007204,2025-10-07
Arkham Asylum™,Batman™,76300,18+,2953.0,299.99,16.0,32.0,25.0,26.0,/de-de/product/arkham-asylum-76300,2025-10-07
Batman: Die Zeichentrickserie Gotham City™,Batman™,76271,18+,4210.0,299.99,4.0,41.0,76.0,6.0,/de-de/product/batman-the-animated-series-gotham-city-76271,2025-10-07
Batman™: Batmobil aus der 60er-Jahre-Fernsehserie,Batman™,76328,18+,1822.0,149.99,,,,,/de-de/product/batman-the-classic-tv-series-batmobile-76328,2025-10-07
Batman Forever™ Batmobil,Batman™,76304,12+,909.0,99.99,,,,,/de-de/product/batman-forever-batmobile-76304,2025-10-07
Batman™ Tumbler vs. Two-Face™ & The Joker™,Batman™,76303,8+,429.0,59.99,,,,,/de-de/product/batman-tumbler-vs-two-face-the-joker-76303,2025-10-07
Batman™ Schlüsselanhänger,Batman™,854235,6+,,5.99,,,,,/de-de/product/batman-keyring-854235,2025-10-07
Batman™ 8-in-1-Figur,Batman™,40748,10+,325.0,24.99,,,,,/de-de/product/batman-8in1-figure-40748,2025-10-07
